Soil,Nitrogen,Phosphorous,Potassium,PH,Rainfall,Temperature,Crop,Fertilizer
Alkaline,85,55,115,7.0,1100,35,sugarcane,DAP
Alkaline,90,55,115,7.0,1100,35,sugarcane,DAP
Alkaline,95,55,115,7.0,1100,35,sugarcane,DAP
Alkaline,100,55,115,7.0,1100,35,sugarcane,DAP
Alkaline,75,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,80,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,85,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,90,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,95,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,100,60,100,7.5,1200,20,sugarcane,MOP
Alkaline,75,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,80,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,85,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,90,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,95,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,100,50,105,6.5,1300,25,sugarcane,MOP
Alkaline,75,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,80,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,85,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,90,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,95,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,100,55,110,7.0,1400,30,sugarcane,MOP
Alkaline,75,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,80,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,85,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,90,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,95,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,100,60,115,7.5,1500,35,sugarcane,MOP
Alkaline,20,25,25,6.5,600,25,millet,10:26:26 NPK
Alkaline,25,25,25,6.5,600,25,millet,10:26:26 NPK
Alkaline,30,25,25,6.5,600,25,millet,10:26:26 NPK
Alkaline,35,25,25,6.5,600,25,millet,10:26:26 NPK
Alkaline,40,25,25,6.5,600,25,millet,10:26:26 NPK
Alkaline,20,30,30,7.0,700,30,millet,10:26:26 NPK
Alkaline,25,30,30,7.0,700,30,millet,10:26:26 NPK
Alkaline,30,30,30,7.0,700,30,millet,10:26:26 NPK
Alkaline,35,30,30,7.0,700,30,millet,10:26:26 NPK
Alkaline,40,30,30,7.0,700,30,millet,10:26:26 NPK
Alkaline,20,35,35,7.5,800,25,millet,10:26:26 NPK
Alkaline,25,35,35,7.5,800,25,millet,10:26:26 NPK
Alkaline,30,35,35,7.5,800,25,millet,10:26:26 NPK
Alkaline,35,35,35,7.5,800,25,millet,10:26:26 NPK
Alkaline,40,35,35,7.5,800,25,millet,10:26:26 NPK
Alkaline,20,25,40,6.5,600,30,millet,10:26:26 NPK
Alkaline,25,25,40,6.5,600,30,millet,10:26:26 NPK
Alkaline,30,25,40,6.5,600,30,millet,10:26:26 NPK
Alkaline,35,25,40,6.5,600,30,millet,10:26:26 NPK
Alkaline,40,25,40,6.5,600,30,millet,10:26:26 NPK
Alkaline,20,30,25,7.0,700,25,millet,Urea
Alkaline,25,30,25,7.0,700,25,millet,Urea
Alkaline,30,30,25,7.0,700,25,millet,Urea
Alkaline,35,30,25,7.0,700,25,millet,Urea
Alkaline,40,30,25,7.0,700,25,millet,Urea
Alkaline,20,35,30,7.5,800,30,millet,Urea
Alkaline,25,35,30,7.5,800,30,millet,Urea
Alkaline,30,35,30,7.5,800,30,millet,Urea
Alkaline,35,35,30,7.5,800,30,millet,Urea
Alkaline,40,35,30,7.5,800,30,millet,Urea
Alkaline,20,25,35,6.5,600,25,millet,Urea
Alkaline,25,25,35,6.5,600,25,millet,Urea
Alkaline,30,25,35,6.5,600,25,millet,Urea
Alkaline,35,25,35,6.5,600,25,millet,Urea
Alkaline,40,25,35,6.5,600,25,millet,Urea
Alkaline,20,30,40,7.0,700,30,millet,Urea
Alkaline,25,30,40,7.0,700,30,millet,Urea
Alkaline,30,30,40,7.0,700,30,millet,Urea
Alkaline,35,30,40,7.0,700,30,millet,Urea
Alkaline,40,30,40,7.0,700,30,millet,Urea
Alkaline,20,35,25,7.5,800,25,millet,SSP
Alkaline,25,35,25,7.5,800,25,millet,SSP
Alkaline,30,35,25,7.5,800,25,millet,SSP
Alkaline,35,35,25,7.5,800,25,millet,SSP
Alkaline,40,35,25,7.5,800,25,millet,SSP
Alkaline,20,25,30,6.5,600,30,millet,SSP
Alkaline,25,25,30,6.5,600,30,millet,SSP
Alkaline,30,25,30,6.5,600,30,millet,SSP
Alkaline,35,25,30,6.5,600,30,millet,SSP
Alkaline,40,25,30,6.5,600,30,millet,SSP
Alkaline,20,30,35,7.0,700,25,millet,SSP
Alkaline,25,30,35,7.0,700,25,millet,SSP
Alkaline,30,30,35,7.0,700,25,millet,SSP
Alkaline,35,30,35,7.0,700,25,millet,SSP
Alkaline,40,30,35,7.0,700,25,millet,SSP
Alkaline,20,35,40,7.5,800,30,millet,SSP
Alkaline,25,35,40,7.5,800,30,millet,SSP
Alkaline,30,35,40,7.5,800,30,millet,SSP
Alkaline,35,35,40,7.5,800,30,millet,SSP
Alkaline,40,35,40,7.5,800,30,millet,SSP
Alkaline,40,20,20,6.0,600,25,millet,10:26:26 NPK
Alkaline,45,20,20,6.0,600,25,millet,10:26:26 NPK
Alkaline,50,20,20,6.0,600,25,millet,10:26:26 NPK
Alkaline,40,25,25,6.5,700,30,millet,10:26:26 NPK
Alkaline,45,25,25,6.5,700,30,millet,10:26:26 NPK
Alkaline,50,25,25,6.5,700,30,millet,10:26:26 NPK
Alkaline,40,20,25,7.0,800,25,millet,10:26:26 NPK
Alkaline,45,20,25,7.0,800,25,millet,10:26:26 NPK
Alkaline,50,20,25,7.0,800,25,millet,10:26:26 NPK
Alkaline,40,25,20,7.5,600,30,millet,10:26:26 NPK
Alkaline,45,25,20,7.5,600,30,millet,10:26:26 NPK
Alkaline,50,25,20,7.5,600,30,millet,10:26:26 NPK
Acidic,100,40,50,6.0,800,25,cotton,DAP
Acidic,105,40,50,6.0,800,25,cotton,DAP
Acidic,110,40,50,6.0,800,25,cotton,DAP
Acidic,115,40,50,6.0,800,25,cotton,DAP
Acidic,120,40,50,6.0,800,25,cotton,DAP
Acidic,125,40,50,6.0,800,25,cotton,DAP
Acidic,130,40,50,6.0,800,25,cotton,DAP
Acidic,135,40,50,6.0,800,25,cotton,DAP
Acidic,140,40,50,6.0,800,25,cotton,DAP
Acidic,145,40,50,6.0,800,25,cotton,DAP
Acidic,150,40,50,6.0,800,25,cotton,DAP
Acidic,100,45,55,6.5,900,30,cotton,DAP
Acidic,105,45,55,6.5,900,30,cotton,DAP
Acidic,110,45,55,6.5,900,30,cotton,DAP
Acidic,115,45,55,6.5,900,30,cotton,DAP
Acidic,120,45,55,6.5,900,30,cotton,DAP
Acidic,125,45,55,6.5,900,30,cotton,DAP
Acidic,130,45,55,6.5,900,30,cotton,DAP
Acidic,135,45,55,6.5,900,30,cotton,DAP
Acidic,140,45,55,6.5,900,30,cotton,DAP
Acidic,145,45,55,6.5,900,30,cotton,DAP
Acidic,150,45,55,6.5,900,30,cotton,DAP
Acidic,100,50,60,7.0,1000,35,cotton,DAP
Acidic,105,50,60,7.0,1000,35,cotton,DAP
Acidic,110,50,60,7.0,1000,35,cotton,DAP
Acidic,115,50,60,7.0,1000,35,cotton,DAP
Acidic,120,50,60,7.0,1000,35,cotton,DAP
Acidic,125,50,60,7.0,1000,35,cotton,DAP
Acidic,130,50,60,7.0,1000,35,cotton,DAP
Acidic,135,50,60,7.0,1000,35,cotton,DAP
Acidic,140,50,60,7.0,1000,35,cotton,DAP
Acidic,145,50,60,7.0,1000,35,cotton,DAP
Acidic,150,50,60,7.0,1000,35,cotton,DAP
Acidic,100,55,65,7.5,800,25,cotton,DAP
Acidic,105,55,65,7.5,800,25,cotton,DAP
Acidic,110,55,65,7.5,800,25,cotton,DAP
Acidic,115,55,65,7.5,800,25,cotton,DAP
Acidic,120,55,65,7.5,800,25,cotton,DAP
Acidic,125,55,65,7.5,800,25,cotton,DAP
Acidic,130,55,65,7.5,800,25,cotton,DAP
Acidic,135,55,65,7.5,800,25,cotton,DAP
Acidic,140,55,65,7.5,800,25,cotton,DAP
Acidic,145,55,65,7.5,800,25,cotton,DAP
Acidic,150,55,65,7.5,800,25,cotton,DAP
Acidic,100,60,70,6.0,900,30,cotton,DAP
Acidic,105,60,70,6.0,900,30,cotton,DAP
Acidic,110,60,70,6.0,900,30,cotton,DAP
Acidic,115,60,70,6.0,900,30,cotton,DAP
Acidic,120,60,70,6.0,900,30,cotton,DAP
Acidic,125,60,70,6.0,900,30,cotton,DAP
Acidic,130,60,70,6.0,900,30,cotton,DAP
Acidic,135,60,70,6.0,900,30,cotton,DAP
Acidic,140,60,70,6.0,900,30,cotton,DAP
Acidic,145,60,70,6.0,900,30,cotton,DAP
Acidic,150,60,70,6.0,900,30,cotton,DAP
Acidic,100,40,75,6.5,1000,35,cotton,DAP
Acidic,105,40,75,6.5,1000,35,cotton,DAP
Acidic,110,40,75,6.5,1000,35,cotton,DAP
Acidic,115,40,75,6.5,1000,35,cotton,DAP
Acidic,120,40,75,6.5,1000,35,cotton,DAP
Acidic,125,40,75,6.5,1000,35,cotton,DAP
Acidic,130,40,75,6.5,1000,35,cotton,DAP
Acidic,135,40,75,6.5,1000,35,cotton,DAP
Acidic,140,40,75,6.5,1000,35,cotton,DAP
Acidic,145,40,75,6.5,1000,35,cotton,DAP
Acidic,150,40,75,6.5,1000,35,cotton,DAP
Acidic,100,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,105,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,110,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,115,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,120,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,125,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,130,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,135,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,140,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,145,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,150,45,50,6.0,800,25,cotton,Magnesium Sulphate
Acidic,100,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,105,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,110,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,115,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,120,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,125,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,130,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,135,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,140,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,145,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,150,50,55,6.5,900,30,cotton,Magnesium Sulphate
Acidic,100,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,105,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,110,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,115,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,120,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,125,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,130,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,135,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,140,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,145,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,150,55,60,7.0,1000,35,cotton,Magnesium Sulphate
Acidic,100,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,105,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,110,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,115,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,120,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,125,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,130,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,135,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,140,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,145,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,150,60,65,7.5,800,25,cotton,Magnesium Sulphate
Acidic,100,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,105,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,110,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,115,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,120,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,125,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,130,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,135,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,140,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,145,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,150,40,70,6.0,900,30,cotton,Magnesium Sulphate
Acidic,100,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,105,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,110,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,115,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,120,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,125,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,130,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,135,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,140,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,145,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,150,45,75,6.5,1000,35,cotton,Magnesium Sulphate
Acidic,100,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,105,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,110,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,115,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,120,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,125,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,130,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,135,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,140,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,145,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,150,50,50,7.0,800,25,cotton,13:32:26 NPK
Acidic,100,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,105,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,110,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,115,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,120,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,125,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,130,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,135,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,140,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,145,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,150,55,55,7.5,900,30,cotton,13:32:26 NPK
Acidic,100,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,105,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,110,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,115,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,120,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,125,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,130,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,135,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,140,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,145,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,150,60,60,6.0,1000,35,cotton,13:32:26 NPK
Acidic,100,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,105,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,110,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,115,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,120,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,125,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,130,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,135,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,140,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,145,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,150,40,65,6.5,800,25,cotton,13:32:26 NPK
Acidic,100,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,105,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,110,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,115,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,120,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,125,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,130,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,135,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,140,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,145,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,150,45,70,7.0,900,30,cotton,13:32:26 NPK
Acidic,100,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,105,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,110,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,115,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,120,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,125,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,130,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,135,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,140,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,145,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,150,50,75,7.5,1000,35,cotton,13:32:26 NPK
Acidic,100,55,50,6.0,800,25,cotton,DAP
Acidic,105,55,50,6.0,800,25,cotton,DAP
Acidic,110,55,50,6.0,800,25,cotton,DAP
Acidic,115,55,50,6.0,800,25,cotton,DAP
Acidic,120,55,50,6.0,800,25,cotton,DAP
Acidic,125,55,50,6.0,800,25,cotton,DAP
Acidic,130,55,50,6.0,800,25,cotton,DAP
Acidic,135,55,50,6.0,800,25,cotton,DAP
Acidic,140,55,50,6.0,800,25,cotton,DAP
Acidic,145,55,50,6.0,800,25,cotton,DAP
Acidic,150,55,50,6.0,800,25,cotton,DAP
Acidic,100,60,55,6.5,900,30,cotton,DAP
Acidic,105,60,55,6.5,900,30,cotton,DAP
Acidic,110,60,55,6.5,900,30,cotton,DAP
Acidic,115,60,55,6.5,900,30,cotton,DAP
Acidic,120,60,55,6.5,900,30,cotton,DAP
Acidic,125,60,55,6.5,900,30,cotton,DAP
Acidic,130,60,55,6.5,900,30,cotton,DAP
Acidic,135,60,55,6.5,900,30,cotton,DAP
Acidic,140,60,55,6.5,900,30,cotton,DAP
Acidic,145,60,55,6.5,900,30,cotton,DAP
Acidic,150,60,55,6.5,900,30,cotton,DAP
Acidic,100,40,60,7.0,1000,35,cotton,DAP
Acidic,105,40,60,7.0,1000,35,cotton,DAP
Acidic,110,40,60,7.0,1000,35,cotton,DAP
Acidic,115,40,60,7.0,1000,35,cotton,DAP
Acidic,120,40,60,7.0,1000,35,cotton,DAP
Acidic,125,40,60,7.0,1000,35,cotton,DAP
Acidic,130,40,60,7.0,1000,35,cotton,DAP
Acidic,135,40,60,7.0,1000,35,cotton,DAP
Acidic,140,40,60,7.0,1000,35,cotton,DAP
Acidic,145,40,60,7.0,1000,35,cotton,DAP
Acidic,150,40,60,7.0,1000,35,cotton,DAP
Acidic,100,45,65,7.5,800,25,cotton,DAP
Acidic,105,45,65,7.5,800,25,cotton,DAP
Acidic,110,45,65,7.5,800,25,cotton,DAP
Acidic,115,45,65,7.5,800,25,cotton,DAP
Acidic,120,45,65,7.5,800,25,cotton,DAP
Acidic,125,45,65,7.5,800,25,cotton,DAP
Acidic,130,45,65,7.5,800,25,cotton,DAP
Acidic,135,45,65,7.5,800,25,cotton,DAP
Acidic,140,45,65,7.5,800,25,cotton,DAP
Acidic,145,45,65,7.5,800,25,cotton,DAP
Acidic,150,45,65,7.5,800,25,cotton,DAP
Acidic,100,50,70,6.0,900,30,cotton,DAP
Acidic,105,50,70,6.0,900,30,cotton,DAP
Acidic,110,50,70,6.0,900,30,cotton,DAP
Acidic,115,50,70,6.0,900,30,cotton,DAP
Acidic,120,50,70,6.0,900,30,cotton,DAP
Acidic,125,50,70,6.0,900,30,cotton,DAP
Acidic,130,50,70,6.0,900,30,cotton,DAP
Acidic,135,50,70,6.0,900,30,cotton,DAP
Acidic,140,50,70,6.0,900,30,cotton,DAP
Acidic,145,50,70,6.0,900,30,cotton,DAP
Acidic,150,50,70,6.0,900,30,cotton,DAP
Acidic,100,55,75,6.5,1000,35,cotton,DAP
Acidic,105,55,75,6.5,1000,35,cotton,DAP
Acidic,110,55,75,6.5,1000,35,cotton,DAP
Acidic,115,55,75,6.5,1000,35,cotton,DAP
Acidic,120,55,75,6.5,1000,35,cotton,DAP
Acidic,125,55,75,6.5,1000,35,cotton,DAP
Acidic,130,55,75,6.5,1000,35,cotton,DAP
Acidic,135,55,75,6.5,1000,35,cotton,DAP
Acidic,140,55,75,6.5,1000,35,cotton,DAP
Acidic,145,55,75,6.5,1000,35,cotton,DAP
Acidic,150,55,75,6.5,1000,35,cotton,DAP
Acidic,100,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,105,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,110,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,115,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,120,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,125,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,130,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,135,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,140,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,145,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,150,60,50,7.0,800,25,cotton,Magnesium Sulphate
Acidic,100,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,105,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,110,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,115,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,120,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,125,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,130,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,135,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,140,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,145,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,150,40,55,7.5,900,30,cotton,Magnesium Sulphate
Acidic,100,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,105,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,110,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,115,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,120,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,125,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,130,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,135,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,140,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,145,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,150,45,60,6.0,1000,35,cotton,Magnesium Sulphate
Acidic,100,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,105,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,110,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,115,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,120,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,125,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,130,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,135,50,65,6.5,800,25,cotton,Magnesium Sulphate
Acidic,140,50,65,6.5,800,25,cotton,Magnesium Sulphate
